
PROMOTOR/AGÊNCIA,REDE,CIDADE,MARCA,VISITAS PRÉ-DEFINIDAS,TELEFONE,DATA INÍCIO,VALOR CONTRATO,DATA VISITA 1,DATA VISITA 2,DATA VISITA 3,DATA VISITA 4,DATA VISITA 5,DATA VISITA 6,DATA VISITA 7,DATA VISITA 8,DATA VISITA 9,DATA VISITA 10
CLAUDIA NEGOSKI,SUPERMERCADOS ALFA,LAGUNA,ALBA,8,(48) 99999-1234,2024-01-15,2400.00,2024-06-01,2024-06-05,2024-06-10,,,,,,,
NATASHA DOS SANTOS ORTIZ,REDE BETA,BALNEÁRIO CAMBORIÚ,ALFAJOR,8,(47) 88888-5678,2024-02-01,3200.00,2024-06-12,,,,,,,,
EMILIANO MARTINS KAISER,DISTRIBUIDORA GAMA,CHAPECÓ,AQUAFAST,8,(49) 77777-9012,2024-01-20,2800.00,2024-06-02,2024-06-08,2024-06-15,,,,,,,
KALVYN HENRIQUE VEIGA,REDE DELTA,PORTO ALEGRE,ARARAS,8,(51) 66666-3456,2024-03-01,4000.00,2024-06-01,2024-06-03,2024-06-07,2024-06-14,,,,,
LILIANE SILVA,SUPERMERCADOS ÉPSILON,TORRES,BELL,8,(51) 55555-7890,2024-02-15,2600.00,2024-06-05,2024-06-12,,,,,,,,
PALOMA SANTOS,REDE ZETA,LAGUNA,ALBA,8,(48) 44444-2345,2024-01-10,3000.00,2024-06-02,2024-06-06,2024-06-11,2024-06-16,,,,,
ROBERTO FERREIRA,ATACADÃO ETA,FLORIANÓPOLIS,COCA-COLA,12,(48) 33333-6789,2024-01-05,6000.00,2024-06-01,2024-06-04,2024-06-07,2024-06-10,2024-06-13,2024-06-16,2024-06-19,2024-06-22,,
MARIA OLIVEIRA,SUPERMERCADOS TETA,CRICIÚMA,PEPSI,10,(48) 22222-0123,2024-02-20,5000.00,2024-06-03,2024-06-06,2024-06-09,2024-06-12,2024-06-15,2024-06-18,,,
JOÃO PEREIRA,REDE IOTA,JOINVILLE,GUARANÁ,15,(47) 11111-4567,2024-03-10,7500.00,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10
CARLA MARTINEZ,DISTRIBUIDORA KAPPA,BLUMENAU,FANTA,6,(47) 99999-8901,2024-04-01,1800.00,2024-06-10,2024-06-15,2024-06-20,,,,,,,
